City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
236,Caravelas,BR,2023-01-24 19:17:13,-17.7125,-39.2481,83.84,69,100,12.35
237,Hobyo,SO,2023-01-24 19:17:14,5.3505,48.5268,75.88,75,100,21.65
238,Edd,ER,2023-01-24 19:17:14,13.9297,41.6925,79.7,59,1,16.71
239,Requena,ES,2023-01-24 19:17:14,39.4883,-1.1004,34.79,72,3,4.21
240,Manono,CD,2023-01-24 19:17:15,-7.3,27.4167,70.18,92,100,2.39
241,Gravdal,NO,2023-01-24 19:17:15,68.1214,13.5031,35.49,93,75,14.97
242,Eslov,SE,2023-01-24 19:17:15,55.8393,13.3039,33.82,93,14,6.82
243,Grindavik,IS,2023-01-24 19:17:16,63.8424,-22.4338,39.15,100,75,13.8
244,Kaabong,UG,2023-01-24 19:17:16,3.4836,34.1492,71.26,41,17,6.38
245,Rovaniemi,FI,2023-01-24 19:17:16,66.5,25.7167,22.41,93,0,14.97
246,Baghdad,IQ,2023-01-24 19:12:29,33.3406,44.4009,49.91,62,0,6.91
247,Olavarria,AR,2023-01-24 19:17:17,-36.8927,-60.3225,91.33,26,0,7.74
248,Lima,PE,2023-01-24 19:17:17,-12.0432,-77.0282,75.45,65,20,18.41
249,Dnestrovsc,MD,2023-01-24 19:17:17,46.6222,29.9133,37.71,65,100,6.8
250,Kankon,IN,2023-01-24 19:17:18,15.0167,74.0167,71.17,85,34,9.48
251,Havre-Saint-Pierre,CA,2023-01-24 19:17:18,50.2334,-63.5986,28.76,54,40,13.8
252,Warri,NG,2023-01-24 19:17:18,5.5167,5.75,82.96,71,21,8.32
253,Camocim,BR,2023-01-24 19:17:19,-2.9022,-40.8411,82.47,68,46,11.21
254,Sisimiut,GL,2023-01-24 19:17:19,66.9395,-53.6735,13.32,90,100,1.45
255,Bani Walid,LY,2023-01-24 19:17:19,31.7566,13.9942,55.56,68,44,13.56
256,Martinsville,US,2023-01-24 19:17:20,36.6915,-79.8725,54.27,32,0,0.0
257,Antequera,ES,2023-01-24 19:17:21,37.0194,-4.5612,42.94,73,100,1.25
258,Marsh Harbour,BS,2023-01-24 19:17:21,26.5412,-77.0636,71.42,72,99,14.36
259,Matagami,CA,2023-01-24 19:17:21,49.7502,-77.6328,3.31,66,0,8.05
260,Paamiut,GL,2023-01-24 19:17:22,61.994,-49.6678,24.4,91,100,9.91
261,Bodden Town,KY,2023-01-24 19:17:22,19.2833,-81.25,86.0,68,20,14.97
262,Dovers,VC,2023-01-24 19:17:22,12.8833,-61.1833,78.39,71,100,19.1
263,Mbale,UG,2023-01-24 19:17:23,1.0821,34.175,72.36,55,100,2.51
264,Maloy,NO,2023-01-24 19:17:23,61.9353,5.1136,49.73,22,100,31.25
265,Parana,AR,2023-01-24 19:14:14,-31.732,-60.5238,101.71,16,46,5.26
266,Posse,BR,2023-01-24 19:18:23,-14.0931,-46.3694,78.46,71,68,4.72
267,Oxapampa,PE,2023-01-24 19:18:24,-10.5775,-75.4017,67.91,81,82,4.21
268,Ipora,BR,2023-01-24 19:18:24,-16.4419,-51.1178,74.39,85,97,4.03
269,Herat,AF,2023-01-24 19:18:24,34.5,62.0,23.47,66,0,10.96
270,Kattivakkam,IN,2023-01-24 19:18:25,13.2167,80.3167,77.09,67,100,8.25
271,Mukhtolovo,RU,2023-01-24 19:18:25,55.4644,43.1953,19.22,93,100,6.15
272,Carnarvon,AU,2023-01-24 19:18:26,-24.8667,113.6333,75.72,79,1,14.5
273,Gazalkent,UZ,2023-01-24 19:18:26,41.5581,69.7708,16.23,71,7,8.01
274,Denizli,TR,2023-01-24 19:18:26,37.8402,29.0698,49.1,68,0,2.15
275,Humberto De Campos,BR,2023-01-24 19:16:23,-2.5983,-43.4611,81.7,74,74,7.07
276,Umm Lajj,SA,2023-01-24 19:18:27,25.0213,37.2685,72.73,66,0,5.46
277,La Ligua,CL,2023-01-24 19:18:27,-32.4524,-71.2311,83.61,40,0,11.21
278,Bubaque,GW,2023-01-24 19:18:27,11.2833,-15.8333,74.82,79,95,17.07
279,Cayenne,GF,2023-01-24 19:18:28,4.9333,-52.3333,82.44,61,75,13.8
280,Olafsvik,IS,2023-01-24 19:18:28,64.8945,-23.7142,40.35,90,100,14.52
