City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Kyabe,TD,9.4515,18.9449,97.45,9,88,4.27,overcast clouds
198,Anapskaya,RU,44.89,37.38,50.23,81,40,15.66,scattered clouds
199,Marawi,PH,7.9986,124.2928,67.8,97,84,1.77,broken clouds
200,Caravelas,BR,-17.7125,-39.2481,86.47,57,87,11.05,overcast clouds
201,Friesach,AT,46.9553,14.4058,35.2,88,100,3.62,overcast clouds
202,Sabha,LY,27.0377,14.4283,58.57,19,0,7.36,clear sky
203,Saint Anthony,US,45.0205,-93.218,4.3,73,0,10.36,clear sky
204,Tamandare,BR,-8.7597,-35.1047,85.33,53,34,11.01,scattered clouds
205,Puerto Ayacucho,VE,5.6639,-67.6236,90.43,37,7,7.9,clear sky
206,Bonavista,CA,48.6499,-53.1147,25.86,59,42,0.94,scattered clouds
207,Sinnamary,GF,5.3833,-52.95,79.56,69,95,8.5,overcast clouds
208,Morondava,MG,-20.2833,44.2833,83.55,74,73,17.4,broken clouds
209,Firozpur Jhirka,IN,27.8,76.95,54.05,40,0,1.7,clear sky
210,Los Algarrobos,PA,8.5,-82.4333,88.21,40,20,24.16,few clouds
211,Port Antonio,JM,18.18,-76.4612,89.51,67,92,18.48,overcast clouds
212,Mecca,SA,21.4267,39.8261,79.43,45,1,9.4,clear sky
213,Marystown,CA,47.1666,-55.1483,29.71,56,23,6.13,few clouds
214,Aripuana,BR,-9.1667,-60.6333,81.84,70,100,0.49,overcast clouds
215,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,81,75,11.5,broken clouds
216,Lokosovo,RU,61.1333,74.8167,2.19,96,65,8.01,broken clouds
217,Gat,IL,31.61,34.7642,66.81,39,13,5.86,few clouds
218,Johnson City,US,36.3134,-82.3535,48.88,54,0,4.61,clear sky
219,Bengkulu,ID,-3.8004,102.2655,76.39,89,100,10.56,light rain
220,Narsaq,GL,60.9167,-46.05,25.02,67,100,22.59,overcast clouds
221,Gdov,RU,58.7406,27.8122,23.88,88,95,13.31,overcast clouds
222,Ghanzi,BW,-21.5667,21.7833,92.95,17,17,9.57,few clouds
223,Macau,MO,22.2006,113.5461,56.93,41,0,12.66,clear sky
224,San Rafael Del Sur,NI,11.8485,-86.4384,81.91,55,58,18.92,broken clouds
225,Inhuma,BR,-6.6683,-41.7078,84.29,55,57,1.59,broken clouds
226,Dikson,RU,73.5069,80.5464,-10.88,96,100,8.77,overcast clouds
227,Kargopol,RU,61.5071,38.9456,17.78,91,100,11.03,overcast clouds
228,Dubrovnik,HR,42.6481,18.0922,51.44,57,75,6.91,broken clouds
229,Hashtrud,IR,37.4779,47.0508,21.09,83,97,0.43,overcast clouds
230,Moussoro,TD,13.6408,16.4901,94.3,8,100,4.63,overcast clouds
231,Micheweni,TZ,-4.9667,39.8333,79.84,74,0,16.93,clear sky
232,Tirumullaivasal,IN,11.2333,79.8333,75.63,77,12,11.54,few clouds
233,Qandala,SO,11.472,49.8728,75.9,77,17,10.18,few clouds
234,Wadsworth,US,41.0256,-81.7299,37.94,69,100,5.99,overcast clouds
235,Korla,CN,41.7597,86.1469,16.47,71,0,1.07,clear sky
236,Calbuco,CL,-41.768,-73.1273,70.81,64,2,6.91,clear sky
237,Laguna,US,38.421,-121.4238,45.09,96,0,0.0,mist
238,Shush,IR,32.1942,48.2436,57.74,33,10,5.86,clear sky
239,Kuybyshevo,RU,47.8123,38.9073,34.07,78,100,13.29,overcast clouds
240,Husavik,IS,66.0449,-17.3389,36.52,91,100,13.53,light rain
241,Plettenberg Bay,ZA,-34.0527,23.3716,63.54,86,100,14.63,moderate rain
242,Acarau,BR,-2.8856,-40.12,86.4,61,28,16.11,scattered clouds
243,Vetralla,IT,42.3098,12.0784,43.18,66,95,6.26,overcast clouds
244,Selma,US,36.5708,-119.6121,39.72,100,0,0.0,mist
245,Havre-Saint-Pierre,CA,50.2334,-63.5986,10.76,79,100,10.36,overcast clouds
246,Iquique,CL,-20.2208,-70.1431,75.24,72,31,6.82,scattered clouds
247,Filadelfia,US,39.9523,-75.1638,50.41,51,75,11.5,broken clouds
248,Waw,SS,7.7029,27.9953,91.94,14,53,3.42,broken clouds
249,Qaqortoq,GL,60.7167,-46.0333,22.53,74,100,34.14,overcast clouds
250,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,99.19,32,83,5.23,broken clouds
251,Havoysund,NO,70.9963,24.6622,34.03,79,98,20.85,snow
252,Westport,US,41.1415,-73.3579,49.1,57,0,14.97,clear sky
253,Tumaco,CO,1.7986,-78.8156,82.17,74,73,10.89,light rain
254,Lisala,CD,2.15,21.5167,92.77,30,95,2.15,overcast clouds
255,Sur,OM,22.5667,59.5289,68.72,71,36,20.49,scattered clouds
256,Lebu,CL,-37.6167,-73.65,64.78,63,0,19.51,clear sky
257,Skjervoy,NO,70.0311,20.9714,28.4,69,99,23.55,light snow
258,Pietermaritzburg,ZA,-29.6168,30.3928,77.22,73,5,12.3,light rain
259,Robertsport,LR,6.7533,-11.3686,81.63,77,22,11.07,few clouds
260,Isla Mujeres,MX,21.2311,-86.731,78.85,75,84,16.06,broken clouds
261,Birjand,IR,32.8663,59.2211,33.1,81,99,7.38,overcast clouds
262,Adrar,MR,20.5022,-10.0711,69.26,26,31,11.03,scattered clouds
263,Naryan-Mar,RU,67.6713,53.087,14.14,96,99,7.67,overcast clouds
264,Goshen,US,41.5823,-85.8344,27.48,77,100,8.05,overcast clouds
265,Grindavik,IS,63.8424,-22.4338,41.47,93,75,21.85,broken clouds
266,Taltal,CL,-25.4,-70.4833,71.91,72,25,6.67,scattered clouds
267,Vila Velha,BR,-20.3297,-40.2925,85.95,76,17,5.01,few clouds
268,Labe,GN,11.3182,-12.2833,88.77,13,89,4.81,overcast clouds
269,Valdivia,CL,-39.8142,-73.2459,77.09,33,0,4.74,clear sky
270,Vieques,PR,18.425,-65.8329,82.42,51,40,20.71,scattered clouds
271,Huntington,US,38.4193,-82.4452,49.53,50,0,8.05,clear sky
272,Saint-Georges,GD,12.0564,-61.7485,77.94,67,15,7.99,light rain
273,Luena,AO,-11.7833,19.9167,67.75,88,100,4.14,light rain
274,Ruwi,OM,23.5996,58.5507,67.69,68,36,9.17,scattered clouds
275,Nouadhibou,MR,20.931,-17.0347,66.42,65,100,14.79,overcast clouds
276,Bay Roberts,CA,47.5999,-53.2648,32.5,59,17,4.0,few clouds
277,Aksarka,RU,66.5606,67.7975,0.63,99,99,3.13,overcast clouds
278,Matara,LK,5.9485,80.5353,74.44,85,100,4.36,overcast clouds
279,Quatre Cocos,MU,-20.2078,57.7625,79.09,84,83,6.49,light rain
280,Cervo,ES,43.6702,-7.4101,49.96,68,100,16.93,overcast clouds
281,Uruzgan,AF,32.8333,66.0,31.17,95,100,1.88,light snow
282,Chuy,UY,-33.6971,-53.4616,81.18,60,97,4.9,overcast clouds
283,Nizhnyaya Tavda,RU,57.6731,66.1725,16.83,93,92,5.88,overcast clouds
284,Joshimath,IN,30.5667,79.5667,41.36,36,0,9.95,clear sky
285,Copiapo,CL,-27.3667,-70.3333,67.69,38,18,7.36,few clouds
286,Opuwo,NA,-18.0607,13.84,80.74,42,96,16.35,overcast clouds
287,Dingle,PH,10.9995,122.6711,74.25,93,94,12.1,overcast clouds
288,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,73,82,9.48,broken clouds
289,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,87,75,17.27,broken clouds
290,Mizdah,LY,31.4451,12.9801,52.05,26,2,11.1,clear sky
291,Emba,KZ,48.8264,58.1442,7.79,99,92,2.91,overcast clouds
292,Mezen,RU,65.8522,44.24,25.39,95,100,11.61,light snow
293,Bilma,NE,18.6853,12.9164,88.79,8,100,8.43,overcast clouds
294,Rocha,UY,-34.4833,-54.3333,90.36,40,92,6.06,overcast clouds
295,Nebolchi,RU,59.1239,33.3454,20.7,91,100,9.89,overcast clouds
296,Luanda,AO,-8.8368,13.2343,84.2,70,40,8.05,scattered clouds
297,Surt,LY,31.2089,16.5887,59.36,33,0,8.86,clear sky
298,Den Helder,NL,52.9599,4.7593,42.03,76,100,5.01,overcast clouds
299,Pangnirtung,CA,66.1451,-65.7125,-31.0,68,20,2.3,few clouds
300,Mindelo,CV,16.8901,-24.9804,70.65,73,27,22.03,scattered clouds
301,Krasnoshchekovo,RU,51.6708,82.7289,20.41,61,0,13.78,clear sky
302,Mitsamiouli,KM,-11.3847,43.2844,81.27,80,9,8.14,clear sky
303,Vila Do Maio,CV,15.1333,-23.2167,77.79,69,36,19.48,scattered clouds
