City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
611,Key Biscayne,US,77.02,broken clouds,25.6937,-80.1628,Beach Haus Key Biscayne
612,Moroni,KM,80.2,few clouds,-11.7022,43.2551,Ville de Moroni
614,Mandera,KE,89.92,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
630,Panama City,PA,88.18,few clouds,8.9936,-79.5197,Hostal Familiar Carmencita
634,San Alberto,CO,86.88,clear sky,7.7611,-73.3922,El Rubio
636,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Fidji Motel
637,Garowe,SO,80.78,clear sky,8.4054,48.4845,Red Sea
638,Verrettes,HT,83.57,scattered clouds,19.05,-72.4667,Kay Haiti
641,El Tigre,VE,84.45,clear sky,8.8875,-64.2454,Hotel La Llovizna
642,Santa Rosa,PH,77.11,overcast clouds,14.3122,121.1114,JARS RESORT
644,Manaure,CO,83.39,clear sky,11.7751,-72.4445,hotel palaima
646,Bertoua,CM,89.38,overcast clouds,4.5833,13.6833,Hotel Sun City
650,Bogo,PH,76.55,scattered clouds,11.0517,124.0055,R&F Function
652,Mikumi,TZ,76.71,clear sky,-7.4041,36.9831,VETA Guest House
658,Port Shepstone,ZA,77.11,light rain,-30.7414,30.455,The Spot Backpackers'
663,French Harbor,HN,82.4,scattered clouds,16.35,-86.4333,Fantasy Island
669,Lima,PE,75.45,clear sky,-12.0432,-77.0282,Hotel Peach Garden
671,Brasilia,BR,80.62,scattered clouds,-15.7797,-47.9297,Hotel de Trânsito
680,Chimbote,PE,74.89,overcast clouds,-9.0853,-78.5783,Hostal Diamante Chimbote
681,San Luis,AR,85.55,clear sky,-33.295,-66.3356,Hotel Dos Venados
685,Arica,CL,85.55,clear sky,-18.475,-70.3042,Hotel Andalucía 
